,accuracy,val_accuracy,loss,val_loss
0,0.4190770387649536,0.5665286779403687,2.519670248031616,1.8854455947875977
1,0.5955166816711426,0.6232998371124268,1.6647733449935913,1.4604688882827759
2,0.6433736681938171,0.6546422243118286,1.336958408355713,1.2353674173355103
3,0.6812384724617004,0.68775874376297,1.1500545740127563,1.1068308353424072
4,0.70819091796875,0.7090479135513306,1.028873324394226,1.0125877857208252
5,0.7273862957954407,0.714961588382721,0.9440761804580688,0.9492977261543274
6,0.7405337691307068,0.7338852882385254,0.8830162882804871,0.9017435908317566
7,0.7534840703010559,0.7439385056495667,0.8350237011909485,0.8542349338531494
8,0.7644622921943665,0.7510349154472351,0.7934100031852722,0.8294201493263245
9,0.7735340595245361,0.7480780482292175,0.760114848613739,0.8022235631942749
10,0.7854325771331787,0.7575399279594421,0.7308976054191589,0.7850169539451599
11,0.7889823913574219,0.767001748085022,0.7060996890068054,0.7699202299118042
12,0.796542227268219,0.7658190131187439,0.6833345293998718,0.7552313804626465
13,0.8036418557167053,0.7705499529838562,0.664216160774231,0.7356899976730347
14,0.8090323209762573,0.7711413502693176,0.6451561450958252,0.7342101335525513
