,precision,recall,f1-score,support,pred
0.0,0.6888888888888889,0.7209302325581395,0.7045454545454545,43.0,160588.0
1.0,0.6717791411042945,0.6801242236024845,0.6759259259259258,322.0,4226.0
avg / total,0.7819227326308225,0.7747278750591576,0.7714067380602238,365.0,365.0
